"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/02/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/01/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/31/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/30/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/29/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/27/2012","4.4150","4.4000","4.4150","4.4000","","0.08%"
"10/26/2012","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"10/25/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/24/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/23/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/22/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/20/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/19/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/18/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/17/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/16/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/15/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/13/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/12/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/11/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/10/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/09/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/08/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/06/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/05/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/04/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/03/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/02/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"10/01/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/29/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/28/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/27/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/26/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"09/25/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/24/2012","4.4150","4.4000","4.4150","4.3910","","0.00%"
"09/22/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/21/2012","4.4150","4.4000","4.4150","4.3910","","0.00%"
"09/20/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/19/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/18/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/17/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/15/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/14/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/13/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/12/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/11/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/10/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/08/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"09/07/2012","4.4150","4.4200","4.4350","4.3980","","-0.45%"
"09/06/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"09/05/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"09/04/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"09/03/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"09/01/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/31/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/30/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/29/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/28/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/27/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/25/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/24/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/23/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/22/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/21/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/20/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/18/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/17/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/16/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/15/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/14/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/13/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/11/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/10/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/09/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/08/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/07/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/06/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/04/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/03/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/02/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"08/01/2012","4.4350","4.4200","4.4350","4.4200","","0.57%"
"07/31/2012","4.4100","4.3930","4.4130","4.3900","","0.00%"
"07/30/2012","4.4100","4.3900","4.4100","4.3900","","0.00%"
"07/28/2012","4.4100","4.3900","4.4100","4.3900","","0.00%"
"07/27/2012","4.4100","4.3900","4.4100","4.3900","","0.00%"
"07/26/2012","4.4100","4.3900","4.4130","4.3900","","-0.56%"
"07/25/2012","4.4350","4.4200","4.4350","4.4200","","0.50%"
"07/24/2012","4.4130","4.3900","4.4130","4.3900","","0.00%"
"07/23/2012","4.4130","4.3900","4.4130","4.3900","","0.07%"
"07/21/2012","4.4100","4.3900","4.4100","4.3900","","0.00%"
"07/20/2012","4.4100","4.3910","4.4110","4.3900","","-0.01%"
"07/19/2012","4.4105","4.3910","4.4105","4.3910","","0.02%"
"07/18/2012","4.4095","4.3900","4.4095","4.3900","","-0.05%"
"07/17/2012","4.4115","4.3910","4.4115","4.3900","","0.03%"
"07/16/2012","4.4100","4.3900","4.4100","4.3900","","-0.06%"
"07/14/2012","4.4125","4.3920","4.4125","4.3920","","0.00%"
"07/13/2012","4.4125","4.3900","4.4125","4.3900","","-0.45%"
"07/12/2012","4.4325","4.4160","4.4325","4.4150","","0.02%"
"07/11/2012","4.4315","4.4150","4.4315","4.4140","","0.01%"
"07/10/2012","4.4310","4.4100","4.4320","4.4100","","0.00%"
"07/09/2012","4.4310","4.4150","4.4370","4.4140","","-0.09%"
"07/07/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"07/06/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"07/05/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"07/04/2012","4.4350","4.4200","4.4350","4.4200","","0.00%"
"07/03/2012","4.4350","4.4200","4.4350","4.4200","","0.09%"
"07/02/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/30/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/29/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/28/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/27/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/26/2012","4.4310","4.4200","4.4310","4.4200","","0.00%"
"06/25/2012","4.4310","4.4200","4.4310","4.4200","","65.64%"
"06/23/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/22/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/21/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/20/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/19/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/18/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/16/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/15/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/14/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/13/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/12/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/11/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/09/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/08/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/07/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/06/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/05/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/04/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/02/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"06/01/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/31/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/30/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/29/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/28/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/26/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/25/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/24/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/23/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/22/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/21/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/19/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
