Date,Close,Open,High,Low,Volume,Change%
2024-04-30,93.0525,93.0,93.4129,92.8175,,0.06%
2024-04-29,93.0,92.3975,93.17,92.3975,,0.65%
2024-04-27,92.3975,91.72,92.3975,91.415,,0.74%
2024-04-26,91.72,91.9375,92.3668,91.2425,,-0.24%
2024-04-25,91.9375,92.245,92.5306,91.9205,,-0.33%
2024-04-24,92.245,93.1275,93.2175,92.1608,,-0.95%
2024-04-23,93.1275,93.47,93.47,92.9632,,-0.37%
2024-04-22,93.47,93.1525,93.5029,93.0923,,0.34%
2024-04-19,93.1525,93.78,94.0117,92.9257,,-0.67%
2024-04-18,93.78,94.27,94.404,93.78,,-0.52%
2024-04-17,94.27,94.42,94.5263,94.0725,,-0.16%
2024-04-16,94.42,93.75,94.4381,93.75,,0.71%
2024-04-15,93.75,93.43,93.75,93.3425,,0.34%
2024-04-12,93.43,93.2675,93.7145,93.21,,0.17%
2024-04-11,93.2675,93.4325,93.9159,93.0461,,-0.18%
2024-04-10,93.4325,93.0,93.5713,92.8384,,0.47%
2024-04-09,93.0,92.7,93.0,92.6453,,0.32%
2024-04-08,92.7,92.5,92.7099,92.4443,,0.22%
2024-04-05,92.5,92.24,92.5878,92.24,,0.28%
2024-04-04,92.24,92.305,92.4871,92.0815,,-0.07%
2024-04-03,92.305,92.5775,92.745,91.9818,,-0.29%
2024-04-02,92.5775,92.1425,92.7632,92.1425,,0.47%
2024-04-01,92.1425,92.48,92.48,92.1425,,-0.36%
2024-03-29,92.48,92.5,92.6775,91.9833,,-0.02%
2024-03-28,92.5,92.305,92.5785,91.905,,0.21%
2024-03-27,92.305,92.7,92.8375,91.777,,-0.43%
2024-03-26,92.7,92.58,92.8718,92.36,,0.13%
2024-03-25,92.58,92.795,93.0475,92.5157,,-0.23%
2024-03-22,92.795,92.0625,92.8689,92.0625,,0.80%
2024-03-21,92.0625,92.25,92.4614,91.4381,,-0.20%
2024-03-20,92.25,92.6475,92.8547,92.1976,,-0.43%
2024-03-19,92.6475,91.9175,92.6664,91.72,,0.79%
2024-03-18,91.9175,92.9025,93.435,91.3277,,-1.06%
2024-03-15,92.9025,91.72,93.0,91.5818,,1.29%
2024-03-14,91.72,91.5025,91.8287,91.4153,,0.24%
2024-03-13,91.5025,91.78,91.945,91.2016,,-0.30%
2024-03-12,91.78,90.6275,91.8195,90.5328,,1.27%
2024-03-11,90.6275,90.6025,90.846,90.4468,,0.03%
2024-03-07,90.6025,90.595,91.0781,90.595,,0.01%
2024-03-06,90.595,90.52,90.8075,90.097,,0.08%
2024-03-05,90.52,91.25,91.5,90.52,,-0.80%
2024-03-04,91.25,91.67,92.0175,91.2121,,-0.46%
2024-03-01,91.67,91.15,91.8686,91.04,,0.57%
2024-02-29,91.1478,91.15,91.3671,90.5928,,0.00%
2024-02-28,91.15,92.0525,92.2725,91.1246,,-0.98%
2024-02-27,92.0525,92.3725,92.3725,91.8516,,-0.35%
2024-02-26,92.3725,92.8525,93.185,91.8216,,-0.52%
2024-02-22,92.8525,92.55,93.2849,92.0524,,0.33%
2024-02-21,92.55,92.3425,92.6,92.1667,,0.22%
2024-02-20,92.3425,92.3375,92.6625,92.2096,,0.01%
2024-02-19,92.3375,92.2225,92.6,91.995,,0.12%
2024-02-16,92.2225,92.25,92.9688,92.1623,,-0.03%
2024-02-15,92.25,91.405,92.508,91.3325,,0.92%
2024-02-14,91.405,91.3025,91.6455,91.2275,,0.11%
2024-02-13,91.3025,91.31,91.3719,91.0332,,-0.01%
2024-02-12,91.31,90.9,91.4396,90.8,,0.45%
2024-02-09,90.9,90.85,91.1354,90.5375,,0.06%
2024-02-08,90.85,91.2675,91.4508,90.7773,,-0.46%
2024-02-07,91.2675,91.22,91.2822,90.7775,,0.05%
2024-02-06,91.22,90.575,91.22,90.4009,,0.71%
2024-02-05,90.575,91.05,91.5071,90.1198,,-0.52%
2024-02-02,91.05,90.4675,91.2545,90.4175,,0.64%
2024-02-01,90.4675,90.0175,90.4911,89.836,,0.50%
2024-01-31,90.0175,89.72,90.0175,89.4183,,0.33%
2024-01-30,89.72,88.975,89.7803,88.6553,,0.84%
2024-01-29,88.975,89.7375,90.2175,88.8632,,-0.85%
2024-01-26,89.7375,88.8925,89.8097,88.8925,,0.95%
2024-01-25,88.8925,88.6075,89.233,88.38,,0.32%
2024-01-24,88.6075,88.7,88.7093,88.0991,,-0.10%
2024-01-23,88.7,87.8,88.7,87.5975,,1.03%
2024-01-22,87.8,88.2,88.5666,87.7254,,-0.45%
2024-01-19,88.2,89.05,89.405,88.2,,-0.95%
2024-01-18,89.05,88.95,89.6466,88.5411,,0.11%
2024-01-17,88.95,87.8525,89.0039,87.8525,,1.25%
2024-01-16,87.8525,87.6,88.9713,87.4545,,0.29%
2024-01-15,87.6,88.41,88.44,87.3827,,-0.92%
2024-01-12,88.41,88.59,88.59,87.9791,,-0.20%
2024-01-11,88.59,89.33,89.3991,88.4852,,-0.83%
2024-01-10,89.33,89.8975,90.055,89.0489,,-0.63%
2024-01-09,89.8975,91.1525,91.7475,89.0451,,-1.38%
2024-01-08,91.1525,90.95,91.6787,90.4491,,0.22%
2024-01-05,90.95,91.3325,91.7063,90.81,,-0.42%
2024-01-04,91.3325,92.0,92.4475,91.072,,-0.73%
2024-01-03,92.0,90.36,92.0,90.36,,1.81%
2023-12-29,90.36,89.36,90.5701,88.8773,,1.12%
2023-12-28,89.36,91.27,91.27,89.2805,,-2.09%
2023-12-27,91.27,91.66,91.9793,91.2369,,-0.43%
2023-12-26,91.66,91.75,91.9388,91.375,,-0.10%
2023-12-25,91.75,92.0,92.1875,91.6576,,-0.27%
2023-12-22,92.0,92.15,92.448,91.5975,,-0.16%
2023-12-21,92.15,90.9625,92.5787,90.46,,1.31%
2023-12-20,90.9625,90.34,90.9813,90.0833,,0.69%
2023-12-19,90.34,90.0575,90.538,89.744,,0.31%
2023-12-18,90.0575,90.275,90.7227,89.848,,-0.24%
2023-12-15,90.275,89.875,90.5459,89.4608,,0.45%
2023-12-14,89.875,90.0125,90.2182,89.3575,,-0.15%
2023-12-13,90.0125,89.9975,90.2001,89.6036,,0.02%
2023-12-12,89.9975,90.69,90.69,89.819,,-0.76%
2023-12-11,90.69,91.8975,92.2385,90.4628,,-1.31%
2023-12-08,91.8975,92.1,92.4347,90.9205,,-0.22%
2023-12-07,92.1,92.82,93.5296,92.1,,-0.78%
2023-12-06,92.82,92.275,93.3246,91.9319,,0.59%
2023-12-05,92.275,90.9275,92.5629,90.9275,,1.48%
2023-12-04,90.9275,90.4075,91.1542,90.3238,,0.58%
2023-12-01,90.4075,89.4525,90.455,89.15,,1.07%
2023-11-30,89.4525,88.55,89.5811,88.3548,,1.02%
2023-11-29,88.55,89.44,89.44,88.3717,,-1.00%
2023-11-28,89.44,88.805,89.44,88.5437,,0.72%
2023-11-27,88.805,88.6,89.035,88.3009,,0.23%
2023-11-24,88.6,88.4,89.3049,88.3163,,0.23%
2023-11-23,88.4,88.35,88.4906,87.9262,,0.06%
2023-11-22,88.35,87.8675,88.5757,87.8613,,0.55%
2023-11-21,87.8675,88.4,88.4,87.6858,,-0.60%
2023-11-20,88.4,90.0,90.0,88.1459,,-1.78%
2023-11-17,90.0,89.15,90.3849,88.9623,,0.95%
2023-11-16,89.15,89.4575,89.5825,88.5892,,-0.34%
2023-11-15,89.4575,90.6,90.6,88.7921,,-1.26%
2023-11-14,90.6,91.62,91.9,90.4048,,-1.11%
2023-11-13,91.62,92.2925,92.4731,91.5423,,-0.73%
2023-11-10,92.2925,92.0375,92.3232,91.9299,,0.28%
2023-11-09,92.0375,92.0175,92.18,91.7525,,0.02%
2023-11-08,92.0175,92.26,92.4593,91.7789,,-0.26%
2023-11-07,92.26,92.3925,92.94,92.1802,,-0.14%
2023-11-06,92.3925,92.4225,92.633,92.0684,,-0.03%
2023-11-03,92.4225,93.35,93.666,92.3114,,-0.99%
2023-11-02,93.35,92.74,93.36,92.6642,,0.66%
2023-11-01,92.74,93.4,93.7412,92.4955,,-0.71%
2023-10-31,93.4,92.8575,93.6045,91.6394,,0.58%
2023-10-30,92.8575,94.125,94.3101,92.7375,,-1.35%
2023-10-27,94.125,93.96,94.416,92.5338,,0.18%
2023-10-26,93.96,93.3325,94.3162,93.1762,,0.67%
2023-10-25,93.3325,93.4,93.413,92.7716,,-0.07%
2023-10-24,93.4,94.425,94.468,93.1637,,-1.09%
